Classifier,Accuracy,ROC AUC,FPR,Precision,Recall,F1-score,Training time,Testing time,TP,FP,TN,FN
Naive Bayes,90.54,46.97,100.0,96.15,93.95,95.04,1.17,0.0,450,18,0,29
Decision Tree,94.77,49.16,100.0,96.32,98.33,97.31,1.63,0.0,471,18,0,8
k-Nearest Neighbors,96.38,50.0,100.0,96.38,100.0,98.16,9.15,0.2,479,18,0,0
SVM,96.38,50.0,100.0,96.38,100.0,98.16,186.96,0.18,479,18,0,0
Random Forest,96.38,50.0,100.0,96.38,100.0,98.16,91.64,0.1,479,18,0,0
