Classifier,Accuracy,ROC AUC,FPR,Precision,Recall,F1-score,Training time,Testing time,TP,FP,TN,FN
Naive Bayes,48.47,49.88,54.89,35.07,54.65,42.73,1.02,0.0,94,174,143,78
Decision Tree,74.03,74.25,26.5,60.56,75.0,67.01,1.97,0.0,129,84,233,43
k-Nearest Neighbors,94.68,94.57,5.05,91.01,94.19,92.57,4.85,0.21,162,16,301,10
SVM,93.05,90.78,1.58,96.62,83.14,89.38,108.74,0.03,143,5,312,29
Random Forest,88.55,86.38,6.31,87.18,79.07,82.93,102.65,0.41,136,20,297,36
