Classifier,Accuracy,ROC AUC,FPR,Precision,Recall,F1-score,Training time,Testing time,TP,FP,TN,FN
Naive Bayes,15.48,33.05,42.55,55.56,8.65,14.97,1.15,0.0,25,20,27,264
Decision Tree,55.36,60.69,31.91,91.12,53.29,67.25,2.79,0.0,154,15,32,135
k-Nearest Neighbors,96.43,97.03,2.13,99.64,96.19,97.89,9.16,0.21,278,1,46,11
SVM,59.52,75.58,2.13,99.35,53.29,69.37,198.53,0.02,154,1,46,135
Random Forest,55.95,74.39,0.0,100.0,48.79,65.58,130.93,0.41,141,0,47,148
